rfp_id,sku_id,category,final_score,baseline_score,structured_score,semantic_score,standards_score,shap_structured,shap_semantic,shap_standards,dominant_feature
RFP_6355,SKU_299,partially matching,0.7041616082191466,0.6691409972959177,0.7,0.5138720273971558,1.0,0.004857725607725627,-0.02983711468449659,0.06000000000000001,Standards score
RFP_6356,SKU_300,partially matching,0.636217274930742,0.6691409972959177,0.8888888888888888,0.6392427682876587,0.0,0.09930217005217007,0.007774107582654288,-0.13999999999999999,Standards score
RFP_6357,SKU_107,partially matching,0.7183838844299317,0.6691409972959177,0.6,0.7279462814331055,1.0,-0.04514227439227436,0.03438516152628832,0.06000000000000001,Standards score
RFP_6358,SKU_252,partially matching,0.6282612740993501,0.6691409972959177,0.5,0.5942042469978333,1.0,-0.09514227439227435,-0.005737448804293344,0.06000000000000001,Structured score
RFP_6359,SKU_130,partially matching,0.5025250395139058,0.6691409972959177,0.6666666666666666,0.5639723539352417,0.0,-0.011808941058941036,-0.014807016723070809,-0.13999999999999999,Standards score
RFP_6360,SKU_293,partially matching,0.6311112859032371,0.6691409972959177,0.5454545454545454,0.5279467105865479,1.0,-0.07241500166500164,-0.02561470972767896,0.06000000000000001,Structured score
RFP_6361,SKU_236,partially matching,0.7173108826984058,0.6691409972959177,0.7272727272727273,0.5122483968734741,1.0,0.018494089244089296,-0.03032420384160108,0.06000000000000001,Standards score
RFP_6362,SKU_256,partially matching,0.6400054852167765,0.6691409972959177,0.5833333333333334,0.4944627285003662,1.0,-0.053475607725607666,-0.03565990435353345,0.06000000000000001,Standards score
RFP_6363,SKU_167,partially matching,0.6805209631269629,0.6691409972959177,0.6363636363636364,0.5411304831504822,1.0,-0.026960456210456174,-0.021659577958498665,0.06000000000000001,Standards score
RFP_6364,SKU_219,matching,0.7410101305354726,0.6691409972959177,0.7272727272727273,0.5912458896636963,1.0,0.018494089244089296,-0.006624956004534432,0.06000000000000001,Standards score
RFP_6365,SKU_219,partially matching,0.5716159284114837,0.6691409972959177,0.7,0.7387197613716125,0.0,0.004857725607725627,0.037617205507840444,-0.13999999999999999,Standards score
RFP_6366,SKU_208,partially matching,0.5415306893678812,0.6691409972959177,0.6923076923076923,0.6512561440467834,0.0,0.0010115717615717945,0.011378120310391714,-0.13999999999999999,Standards score
RFP_6367,SKU_159,partially matching,0.699281423742121,0.6691409972959177,0.6363636363636364,0.6036653518676758,1.0,-0.026960456210456174,-0.002899117343340585,0.06000000000000001,Standards score
RFP_6368,SKU_188,partially matching,0.6142528368876531,0.6691409972959177,0.8461538461538461,0.6372530460357666,0.0,0.07793464868464872,0.007177190907086661,-0.13999999999999999,Standards score
RFP_6369,SKU_252,partially matching,0.5799503765322945,0.6691409972959177,0.45454545454545453,0.5089254975318909,1.0,-0.11786954711954709,-0.031321073644076054,0.06000000000000001,Structured score
RFP_6370,SKU_116,partially matching,0.6515023865483023,0.6691409972959177,0.5454545454545454,0.5959170460700989,1.0,-0.07241500166500164,-0.005223609082613656,0.06000000000000001,Structured score
RFP_6371,SKU_219,partially matching,0.4953814586003621,0.6691409972959177,0.6666666666666666,0.5401604175567627,0.0,-0.011808941058941036,-0.02195059763661451,-0.13999999999999999,Standards score
RFP_6372,SKU_280,partially matching,0.668640927473704,0.6691409972959177,0.5833333333333334,0.5899142026901245,1.0,-0.053475607725607666,-0.007024462096605966,0.06000000000000001,Standards score
