rfp_id,model,score_clean,score_start,score_middle,score_end,delta_start,delta_middle,delta_end,rank_stable_start,rank_stable_middle,rank_stable_end
RFP_0002,Hybrid (Ours),0.5930260419845581,0.5597587823867798,0.5455974340438843,0.5521989464759827,-0.03326725959777832,-0.04742860794067383,-0.04082709550857544,True,True,True
RFP_0003,SBERT MPNet (sem-only),0.6854062676429749,0.6194041967391968,0.591123104095459,0.6087237596511841,-0.06600207090377808,-0.09428316354751587,-0.07668250799179077,False,False,False
RFP_0003,SBERT MiniLM-L6,0.6257829666137695,0.6022768020629883,0.5755902528762817,0.5691743493080139,-0.02350616455078125,-0.05019271373748779,-0.056608617305755615,False,True,True
RFP_0003,TF-IDF + Cosine,0.03988296911120415,0.02689880132675171,0.020902058109641075,0.024119650945067406,-0.012984167784452438,-0.018980911001563072,-0.01576331816613674,True,True,True
RFP_0003,BM25 (Okapi),1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
RFP_0003,Exact Structured,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.0,0.0,0.0,True,True,True
RFP_0003,Hybrid (Ours),0.7668242454528809,0.757724940776825,0.7502337694168091,0.7552829384803772,-0.009099304676055908,-0.016590476036071777,-0.011541306972503662,True,True,True
RFP_0004,SBERT MPNet (sem-only),0.7092112898826599,0.653191328048706,0.5635713934898376,0.48236924409866333,-0.05601996183395386,-0.14563989639282227,-0.22684204578399658,False,False,False
RFP_0004,SBERT MiniLM-L6,0.7277659773826599,0.718838095664978,0.637923538684845,0.5662395358085632,-0.008927881717681885,-0.08984243869781494,-0.16152644157409668,False,False,False
RFP_0004,TF-IDF + Cosine,0.09042468667030334,0.06485854089260101,0.05433512106537819,0.06724590808153152,-0.02556614577770233,-0.036089565604925156,-0.02317877858877182,True,True,True
RFP_0004,BM25 (Okapi),1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
RFP_0004,Exact Structured,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.0,0.0,0.0,True,True,True
RFP_0004,Hybrid (Ours),0.746724009513855,0.7252649664878845,0.6983185410499573,0.6761242747306824,-0.02145904302597046,-0.048405468463897705,-0.07059973478317261,True,True,True
RFP_0005,SBERT MPNet (sem-only),0.6617369055747986,0.6065617203712463,0.4856891334056854,0.46846163272857666,-0.055175185203552246,-0.17604777216911316,-0.19327527284622192,False,False,False
RFP_0005,SBERT MiniLM-L6,0.565269410610199,0.5454405546188354,0.5124803185462952,0.51034015417099,-0.019828855991363525,-0.05278909206390381,-0.054929256439208984,False,False,False
RFP_0005,TF-IDF + Cosine,0.07328501343727112,0.04044972360134125,0.03336646035313606,0.044382017105817795,-0.03283528983592987,-0.039918553084135056,-0.028902996331453323,True,True,True
RFP_0005,BM25 (Okapi),1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
RFP_0005,Exact Structured,0.7777777910232544,0.7777777910232544,0.7777777910232544,0.7777777910232544,0.0,0.0,0.0,True,True,True
RFP_0005,Hybrid (Ours),0.6997901201248169,0.673930287361145,0.6479183435440063,0.6480064988136292,-0.025859832763671875,-0.05187177658081055,-0.051783621311187744,True,True,True
RFP_0006,SBERT MPNet (sem-only),0.7169562578201294,0.659650444984436,0.5791118144989014,0.5577290058135986,-0.05730581283569336,-0.13784444332122803,-0.15922725200653076,False,False,True
RFP_0006,SBERT MiniLM-L6,0.646017849445343,0.6095175743103027,0.5761122703552246,0.5847903490066528,-0.03650027513504028,-0.06990557909011841,-0.061227500438690186,True,True,False
RFP_0006,TF-IDF + Cosine,0.09822399169206619,0.06763390451669693,0.055893316864967346,0.06939028203487396,-0.030590087175369263,-0.042330674827098846,-0.02883370965719223,True,True,True
RFP_0006,BM25 (Okapi),1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
RFP_0006,Exact Structured,0.8181818127632141,0.8181818127632141,0.8181818127632141,0.8181818127632141,0.0,0.0,0.0,True,True,True
RFP_0006,Hybrid (Ours),0.7130126357078552,0.7042080163955688,0.7011752128601074,0.6943454742431641,-0.008804619312286377,-0.011837422847747803,-0.018667161464691162,True,True,True
RFP_0007,SBERT MPNet (sem-only),0.693787693977356,0.544049859046936,0.5307814478874207,0.5714269280433655,-0.14973783493041992,-0.1630062460899353,-0.12236076593399048,False,False,False
RFP_0007,SBERT MiniLM-L6,0.6431775689125061,0.6059445142745972,0.5601207613945007,0.5590952634811401,-0.037233054637908936,-0.08305680751800537,-0.08408230543136597,True,False,True
